,Model_Name,Model_Type,Data_Center_Region,Training_Hours,Energy_Consumption_kWh,Peak_Power_kW,Inference_Count,Latency_ms,Throughput_ops,Model_Accuracy_%,CO2_Emissions_kg,Carbon_Intensity_gCO2_kWh,Energy_Source,Green_Energy_Usage_%,Renewable_Energy_%,Water_Usage_L,Cooling_Efficiency_%,PUE,Sustainability_Score,Carbon_Efficiency,Green_Score_Index
0,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,458.33,640.55,Mixed,84.9,69.48,636.4,95.48,1.8,53.45,1.1661,57.04
1,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,197.63,897.0,Hydro,69.46,40.81,333.06,61.96,1.64,52.66,0.5028,43.64
2,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,125.63,250.97,Solar,74.53,35.24,486.38,94.07,1.47,86.7,0.3196,50.35
3,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,29.81,660.29,Wind,40.86,21.03,780.47,94.86,1.11,55.17,0.0758,29.63
4,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,225.27,423.61,Mixed,47.87,38.56,639.77,78.65,1.74,50.55,0.5731,36.09
5,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,242.93,848.51,Wind,53.44,45.74,600.67,87.3,1.96,56.94,0.6181,41.17
6,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,109.5,878.93,Wind,78.53,23.54,712.78,87.02,1.92,60.32,0.2786,42.71
7,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,472.0,327.14,Hydro,30.22,41.85,221.06,67.58,1.23,80.69,1.2009,37.82
8,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,350.44,488.49,Hydro,66.44,66.75,441.08,80.13,1.33,94.44,0.8916,58.89
9,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,441.43,458.74,Solar,89.37,46.06,880.6,86.87,1.75,14.11,1.1231,43.49
10,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,168.93,676.75,Wind,59.72,47.9,80.21,77.26,1.44,87.64,0.4298,49.84
11,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,184.59,534.03,Mixed,43.81,36.68,557.7,80.86,1.17,70.39,0.4696,38.26
12,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,90.68,824.88,Coal,74.14,21.62,507.09,77.98,1.27,83.07,0.2307,45.37
13,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,271.7,447.52,Wind,58.6,85.13,703.4,83.03,1.85,34.52,0.6913,50.07
14,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,247.57,380.06,Wind,59.44,59.13,536.07,90.18,1.4,77.38,0.6299,51.1
15,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,349.29,616.08,Coal,26.66,28.19,199.13,64.05,1.38,36.28,0.8887,23.74
16,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,117.19,499.35,Solar,37.02,93.82,130.29,95.45,1.77,77.98,0.2982,54.89
17,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,207.88,714.84,Hydro,82.5,74.97,986.94,67.79,1.81,56.58,0.5289,58.58
18,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,130.97,475.96,Coal,97.94,60.53,274.31,87.42,1.47,18.21,0.3332,51.23
19,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,498.89,862.46,Coal,63.67,16.09,109.22,88.52,1.53,69.88,1.2693,37.93
20,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,211.41,557.83,Mixed,75.04,57.75,702.81,67.08,1.13,64.51,0.5379,52.77
21,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,26.19,884.27,Hydro,86.96,74.99,852.22,68.96,1.92,42.17,0.0666,57.04
22,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,49.62,775.37,Wind,61.07,35.12,223.17,94.19,1.3,49.81,0.1262,38.84
23,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,191.13,844.01,Mixed,38.66,36.98,585.77,83.72,1.29,6.72,0.4863,24.06
24,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,128.66,156.33,Hydro,66.5,31.58,848.67,80.51,1.56,40.52,0.3273,37.66
25,Model_1,Anomaly Detection,India-South,619,393.05,1.27,61921,484.8,497.2,98.68,350.95,667.13,Mixed,50.24,39.62,604.99,76.4,1.46,63.31,0.8929,39.65
26,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,64.34,785.06,Wind,75.43,32.34,93.57,97.05,1.61,19.61,0.7547,36.28
27,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,286.01,728.27,Mixed,97.41,73.97,374.49,80.33,1.41,88.75,3.355,69.19
28,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,350.8,635.19,Wind,63.84,88.22,560.4,78.11,1.3,55.67,4.115,56.78
29,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,315.93,895.57,Coal,64.95,33.35,539.47,89.18,1.63,40.64,3.7059,37.64
30,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,214.09,393.18,Wind,50.22,17.59,377.83,82.57,1.69,84.81,2.5113,37.36
31,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,69.82,346.45,Coal,51.17,63.22,571.28,80.85,1.16,64.29,0.819,47.23
32,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,327.37,300.37,Hydro,96.68,90.24,172.31,63.34,1.92,33.59,3.8401,62.86
33,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,92.46,284.15,Wind,64.3,53.43,874.89,75.52,1.44,97.45,1.0846,54.88
34,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,179.08,160.28,Hydro,89.35,88.05,762.14,84.08,1.32,13.23,2.1006,55.99
35,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,300.42,415.75,Hydro,31.73,31.4,750.53,87.12,1.35,81.51,3.524,35.29
36,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,240.45,636.91,Hydro,90.43,75.56,558.57,81.94,1.51,72.02,2.8205,64.23
37,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,410.05,336.23,Hydro,67.35,16.77,500.27,80.21,1.58,26.37,4.81,30.57
38,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,401.19,358.04,Coal,48.02,54.85,387.35,62.53,1.27,26.65,4.706,36.25
39,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,83.85,778.94,Wind,76.65,53.1,666.38,68.7,1.37,73.22,0.9836,53.59
40,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,259.02,209.3,Wind,58.53,81.51,505.6,80.63,1.38,25.07,3.0384,47.12
41,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,117.92,435.82,Mixed,46.42,22.07,607.21,86.36,1.41,83.81,1.3832,37.35
42,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,180.85,165.28,Mixed,52.42,53.4,370.57,78.83,1.44,42.2,2.1214,40.31
43,Model_2,Speech,US-East,207,85.25,4.57,6486,263.93,265.66,94.53,420.48,417.43,Coal,79.54,87.25,363.83,86.87,1.57,77.1,4.9323,65.5
44,Model_3,Recommender,India-South,991,1013.09,7.04,9335,316.55,464.54,92.6,458.33,640.55,Mixed,84.9,69.48,636.4,95.48,1.8,53.45,0.4524,57.04
45,Model_3,Recommender,India-South,991,1013.09,7.04,9335,316.55,464.54,92.6,197.63,897.0,Hydro,69.46,40.81,333.06,61.96,1.64,52.66,0.1951,43.64
46,Model_3,Recommender,India-South,991,1013.09,7.04,9335,316.55,464.54,92.6,125.63,250.97,Solar,74.53,35.24,486.38,94.07,1.47,86.7,0.124,50.35
47,Model_3,Recommender,India-South,991,1013.09,7.04,9335,316.55,464.54,92.6,29.81,660.29,Wind,40.86,21.03,780.47,94.86,1.11,55.17,0.0294,29.63
48,Model_3,Recommender,India-South,991,1013.09,7.04,9335,316.55,464.54,92.6,225.27,423.61,Mixed,47.87,38.56,639.77,78.65,1.74,50.55,0.2224,36.09
49,Model_3,Recommender,India-South,991,1013.09,7.04,9335,316.55,464.54,92.6,242.93,848.51,Wind,53.44,45.74,600.67,87.3,1.96,56.94,0.2398,41.17
